 ,КОМАНДА,И,В,П,ВД,ПД,ОЧКИ,В КАРТ,% ОЧКОВ
1,Team Mind,0,0,0,0,0,0,0-0,0.00
2,Team Naut,0,0,0,0,0,0,0-0,0.00
3,Team Vernon,0,0,0,0,0,0,0-0,0.00
4,Team Small,0,0,0,0,0,0,0-0,0.00
5,Team Bugatti,0,0,0,0,0,0,0-0,0.00
