 ,TEAM,GP,W,L,DW,DL,POINTS,MAP WINS,P%
1,Team Bugatti,4,4,0,0,0,19,12-1,0.95
2,Team Vernon,4,3,1,0,0,12,9-5,0.60
3,Team Small,4,1,2,1,0,9,6-8,0.45
4,Team Mind,4,1,3,0,0,5,4-10,0.25
5,Team Naut,4,0,3,0,1,5,5-12,0.25
