 ,TEAM,GP,W,L,DW,DL,POINTS,MAP WINS,P%
1,Team Chong,9,7,0,1,1,24,17-3,0.89
2,Team Yk,10,6,0,2,2,24,16-6,0.80
3,Team Dan,10,6,1,0,3,21,13-8,0.70
4,Team X,10,4,2,4,0,20,14-8,0.67
5,Team Keeper,10,4,3,1,2,16,10-11,0.53
6,Team Noanne,8,2,2,3,1,13,11-9,0.54
7,Team 2k,9,3,4,0,2,11,6-12,0.41
8,Pump!,10,2,5,2,1,11,7-14,0.37
9,Team Nightmare,8,3,4,0,1,7,7-10,0.29
10,Leglock Enjoyers,8,1,7,0,0,3,2-14,0.13
11,Yaso Subibu,10,0,10,0,0,0,0-8,0.00
